{'activations_time': 0.17079997062683105, 'fid': 9.14963038667338e-09, 'fid_time': 0.3249471187591553, 'kid': -0.3432225, 'kid_time': 6.6055588722229, 'precision': 1.0, 'recall': 1.0, 'f1_pr': 1.00001, 'precision_time': 1.2933447360992432, 'recall_time': 1.2933447360992432, 'f1_pr_time': 1.2933447360992432, 'density': 1.2000000000000002, 'coverage': 1.0, 'f1_dc': 1.090919173552968, 'density_time': 0.9852657318115234, 'coverage_time': 0.9852657318115234, 'f1_dc_time': 0.9852657318115234, 'mmd_rbf': 2.384185791015625e-07, 'mmd_rbf_time': 1.563662052154541, 'mmd_linear': 1.1368663e-14, 'mmd_linear_time': 0.17095422744750977, 'wl_mmd': 0.0013605442176870747, 'wl_mmd_time': 2.3360331058502197, 'nspdk_mmd': -3.3306690738754696e-16, 'nspdk_mmd_time': 14.797461986541748, 'degree_mmd': 5.868990926627404e-05, 'degree_mmd_time': 22.270421, 'cluster_mmd': 4.289640286314622e-05, 'cluster_mmd_time': 24.899871, 'spectral_mmd': 0.00038791734227672237, 'spectral_mmd_time': 42.949745, 'dataset': 'lipophilicity_astrazeneca_50', 'generator_name': 'corrupted', 'degree_of_perturbation': 0}
{'activations_time': 2.2467381954193115, 'fid': 35.800681039182024, 'fid_time': 2.369948148727417, 'kid': 0.5605959, 'kid_time': 2.3343420028686523, 'precision': 0.2782312925170068, 'recall': 0.9455782312925171, 'f1_pr': 0.4299646095229343, 'precision_time': 3.5595450401306152, 'recall_time': 3.5595450401306152, 'f1_pr_time': 3.5595450401306152, 'density': 0.22095238095238098, 'coverage': 0.6340136054421769, 'f1_dc': 0.32771382845534813, 'density_time': 3.2462401390075684, 'coverage_time': 3.2462401390075684, 'f1_dc_time': 3.2462401390075684, 'mmd_rbf': 0.13952213525772095, 'mmd_rbf_time': 3.7866833209991455, 'mmd_linear': 15.891347, 'mmd_linear_time': 2.246889114379883, 'wl_mmd': 0.0013605442176870747, 'wl_mmd_time': 3.056335926055908, 'nspdk_mmd': 0.09406835293754096, 'nspdk_mmd_time': 16.786654233932495, 'degree_mmd': 0.06969141068185469, 'degree_mmd_time': 25.527463, 'cluster_mmd': 0.27837411181254845, 'cluster_mmd_time': 59.17454, 'spectral_mmd': 0.0532292634249758, 'spectral_mmd_time': 50.268948, 'dataset': 'lipophilicity_astrazeneca_50', 'generator_name': 'corrupted', 'degree_of_perturbation': 0.85}
{'activations_time': 0.1997838020324707, 'fid': 272983.7021463798, 'fid_time': 0.29271769523620605, 'kid': 4159675600000.0, 'kid_time': 0.24238967895507812, 'precision': 0.3217687074829932, 'recall': 0.926530612244898, 'f1_pr': 0.4776679106491011, 'precision_time': 1.3645298480987549, 'recall_time': 1.3645298480987549, 'f1_pr_time': 1.3645298480987549, 'density': 0.18571428571428572, 'coverage': 0.5, 'f1_dc': 0.2708454339665093, 'density_time': 1.1343798637390137, 'coverage_time': 1.1343798637390137, 'f1_dc_time': 1.1343798637390137, 'mmd_rbf': 0.07418039441108704, 'mmd_rbf_time': 1.8061237335205078, 'mmd_linear': 5683.124, 'mmd_linear_time': 0.19988679885864258, 'wl_mmd': 0.0013605442176870747, 'wl_mmd_time': 2.46301007270813, 'nspdk_mmd': 0.10414087869078237, 'nspdk_mmd_time': 16.792217016220093, 'degree_mmd': 0.0772239704617319, 'degree_mmd_time': 27.125981, 'cluster_mmd': 0.30678488832967155, 'cluster_mmd_time': 54.222028, 'spectral_mmd': 0.06061064982543507, 'spectral_mmd_time': 50.561366, 'dataset': 'lipophilicity_astrazeneca_50', 'generator_name': 'corrupted', 'degree_of_perturbation': 0.9}
{'activations_time': 0.1855607032775879, 'fid': 93.97041917392997, 'fid_time': 0.29926061630249023, 'kid': 61.340324, 'kid_time': 0.24131989479064941, 'precision': 0.2503401360544218, 'recall': 0.9680272108843537, 'f1_pr': 0.39781806345830195, 'precision_time': 1.6175098419189453, 'recall_time': 1.6175098419189453, 'f1_pr_time': 1.6175098419189453, 'density': 0.11850340136054423, 'coverage': 0.2945578231292517, 'f1_dc': 0.16902358461601383, 'density_time': 1.0433759689331055, 'coverage_time': 1.0433759689331055, 'f1_dc_time': 1.0433759689331055, 'mmd_rbf': 0.1146637499332428, 'mmd_rbf_time': 1.6515719890594482, 'mmd_linear': 20.246662, 'mmd_linear_time': 0.18567371368408203, 'wl_mmd': 0.0013605442176870747, 'wl_mmd_time': 2.553209066390991, 'nspdk_mmd': 0.11607763875586385, 'nspdk_mmd_time': 16.84006977081299, 'degree_mmd': 0.08579438104838122, 'degree_mmd_time': 25.284224, 'cluster_mmd': 0.3412266843045004, 'cluster_mmd_time': 62.38273, 'spectral_mmd': 0.06683277642601593, 'spectral_mmd_time': 50.519932, 'dataset': 'lipophilicity_astrazeneca_50', 'generator_name': 'corrupted', 'degree_of_perturbation': 0.95}
{'activations_time': 0.19161295890808105, 'fid': 412.65504400234204, 'fid_time': 0.24879789352416992, 'kid': 520.28564, 'kid_time': 0.24093389511108398, 'precision': 0.5258503401360545, 'recall': 0.6197278911564625, 'f1_pr': 0.5689526560652036, 'precision_time': 1.7403368949890137, 'recall_time': 1.7403368949890137, 'f1_pr_time': 1.7403368949890137, 'density': 0.12204081632653062, 'coverage': 0.05102040816326531, 'f1_dc': 0.07196971239557846, 'density_time': 1.1667656898498535, 'coverage_time': 1.1667656898498535, 'f1_dc_time': 1.1667656898498535, 'mmd_rbf': 0.31034553050994873, 'mmd_rbf_time': 1.7666540145874023, 'mmd_linear': 165.94286, 'mmd_linear_time': 0.19170689582824707, 'wl_mmd': 0.0013605442176870747, 'wl_mmd_time': 2.496580123901367, 'nspdk_mmd': 0.12867393789580295, 'nspdk_mmd_time': 16.89704394340515, 'degree_mmd': 0.09536096200573319, 'degree_mmd_time': 26.163393, 'cluster_mmd': 0.38189414088788864, 'cluster_mmd_time': 57.547998, 'spectral_mmd': 0.0740598161958228, 'spectral_mmd_time': 53.885597, 'dataset': 'lipophilicity_astrazeneca_50', 'generator_name': 'corrupted', 'degree_of_perturbation': 1}
{'activations_time': 0.08747386932373047, 'fid': -7.119507472452824e-08, 'fid_time': 0.2391371726989746, 'kid': -0.098095536, 'kid_time': 6.203696966171265, 'precision': 1.0, 'recall': 1.0, 'f1_pr': 1.00001, 'precision_time': 1.00077486038208, 'recall_time': 1.00077486038208, 'f1_pr_time': 1.00077486038208, 'density': 1.2008450704225353, 'coverage': 1.0, 'f1_dc': 1.0912682427575533, 'density_time': 0.8292548656463623, 'coverage_time': 0.8292548656463623, 'f1_dc_time': 0.8292548656463623, 'mmd_rbf': 4.76837158203125e-07, 'mmd_rbf_time': 1.1287791728973389, 'mmd_linear': 1.6268291e-13, 'mmd_linear_time': 0.08758187294006348, 'wl_mmd': 0.0028169014084507044, 'wl_mmd_time': 0.9649627208709717, 'nspdk_mmd': -5.551115123125783e-17, 'nspdk_mmd_time': 6.941895961761475, 'degree_mmd': 3.89560420319679e-05, 'degree_mmd_time': 13.902092, 'cluster_mmd': 7.42649904597048e-05, 'cluster_mmd_time': 17.28764, 'spectral_mmd': 0.00076706057354059, 'spectral_mmd_time': 35.194344, 'dataset': 'bbb_martins_50', 'generator_name': 'corrupted', 'degree_of_perturbation': 0}
{'activations_time': 0.08570599555969238, 'fid': 229.92651716424757, 'fid_time': 0.3093280792236328, 'kid': 2963.1694, 'kid_time': 0.09797286987304688, 'precision': 0.9704225352112676, 'recall': 0.9985915492957746, 'f1_pr': 0.9843155492065655, 'precision_time': 0.9454460144042969, 'recall_time': 0.9454460144042969, 'f1_pr_time': 0.9454460144042969, 'density': 1.151830985915493, 'coverage': 1.0, 'f1_dc': 1.0705690234728804, 'density_time': 0.7694740295410156, 'coverage_time': 0.7694740295410156, 'f1_dc_time': 0.7694740295410156, 'mmd_rbf': 0.0006690025329589844, 'mmd_rbf_time': 1.1196339130401611, 'mmd_linear': 4.643379, 'mmd_linear_time': 0.08578205108642578, 'wl_mmd': 0.0028169014084507044, 'wl_mmd_time': 0.951941728591919, 'nspdk_mmd': 0.0003500518616207371, 'nspdk_mmd_time': 6.664909839630127, 'degree_mmd': 0.00019794561665031907, 'degree_mmd_time': 12.083914, 'cluster_mmd': 0.0005556014079379779, 'cluster_mmd_time': 15.546115, 'spectral_mmd': 0.0009716718098735644, 'spectral_mmd_time': 33.680608, 'dataset': 'bbb_martins_50', 'generator_name': 'corrupted', 'degree_of_perturbation': 0.05}
{'activations_time': 0.07601499557495117, 'fid': 0.5520587439694111, 'fid_time': 0.2274341583251953, 'kid': -0.033511758, 'kid_time': 0.09830617904663086, 'precision': 0.9351198871650211, 'recall': 0.9943661971830986, 'f1_pr': 0.9638434505227994, 'precision_time': 0.8047709465026855, 'recall_time': 0.8047709465026855, 'f1_pr_time': 0.8047709465026855, 'density': 1.0902679830747533, 'coverage': 1.0, 'f1_dc': 1.0431949039393134, 'density_time': 0.6129608154296875, 'coverage_time': 0.6129608154296875, 'f1_dc_time': 0.6129608154296875, 'mmd_rbf': 0.0007626116275787354, 'mmd_rbf_time': 1.0258910655975342, 'mmd_linear': 0.03570713, 'mmd_linear_time': 0.07608699798583984, 'wl_mmd': 0.0028188879397683707, 'wl_mmd_time': 0.9537999629974365, 'nspdk_mmd': 0.0011228357603192407, 'nspdk_mmd_time': 6.681126117706299, 'degree_mmd': 0.0007135520334540235, 'degree_mmd_time': 11.81525, 'cluster_mmd': 0.00319793534500179, 'cluster_mmd_time': 17.262127, 'spectral_mmd': 0.0014219057099511545, 'spectral_mmd_time': 33.31118, 'dataset': 'bbb_martins_50', 'generator_name': 'corrupted', 'degree_of_perturbation': 0.1}
{'activations_time': 0.08945488929748535, 'fid': 0.5226346217795026, 'fid_time': 0.1745448112487793, 'kid': -0.06163442, 'kid_time': 0.12561702728271484, 'precision': 0.9394366197183098, 'recall': 0.9971830985915493, 'f1_pr': 0.9674589205428764, 'precision_time': 0.8220758438110352, 'recall_time': 0.8220758438110352, 'f1_pr_time': 0.8220758438110352, 'density': 1.0605633802816903, 'coverage': 1.0, 'f1_dc': 1.0294016696092219, 'density_time': 0.6930897235870361, 'coverage_time': 0.6930897235870361, 'f1_dc_time': 0.6930897235870361, 'mmd_rbf': 0.0013553202152252197, 'mmd_rbf_time': 1.0151100158691406, 'mmd_linear': 0.07824637, 'mmd_linear_time': 0.08953094482421875, 'wl_mmd': 0.0028169014084507044, 'wl_mmd_time': 0.9815990924835205, 'nspdk_mmd': 0.0024828274050144317, 'nspdk_mmd_time': 7.021461009979248, 'degree_mmd': 0.0014272126041938726, 'degree_mmd_time': 11.825266, 'cluster_mmd': 0.006408428703826852, 'cluster_mmd_time': 18.700193, 'spectral_mmd': 0.0020236003798743685, 'spectral_mmd_time': 31.599695, 'dataset': 'bbb_martins_50', 'generator_name': 'corrupted', 'degree_of_perturbation': 0.15}
{'activations_time': 0.0860130786895752, 'fid': 6.829897559204426, 'fid_time': 0.24276518821716309, 'kid': 0.112807035, 'kid_time': 0.12381291389465332, 'precision': 0.8629943502824858, 'recall': 0.9985915492957746, 'f1_pr': 0.9258645790028067, 'precision_time': 0.8681132793426514, 'recall_time': 0.8681132793426514, 'f1_pr_time': 0.8681132793426514, 'density': 0.9508474576271188, 'coverage': 1.0, 'f1_dc': 0.9748145241586577, 'density_time': 0.7174081802368164, 'coverage_time': 0.7174081802368164, 'f1_dc_time': 0.7174081802368164, 'mmd_rbf': 0.007981359958648682, 'mmd_rbf_time': 0.9901759624481201, 'mmd_linear': 1.163724, 'mmd_linear_time': 0.08608603477478027, 'wl_mmd': 0.0028208800827564254, 'wl_mmd_time': 0.9530761241912842, 'nspdk_mmd': 0.006432450950506374, 'nspdk_mmd_time': 6.702070951461792, 'degree_mmd': 0.0038911124223592886, 'degree_mmd_time': 11.928849, 'cluster_mmd': 0.020835535810542982, 'cluster_mmd_time': 17.645749, 'spectral_mmd': 0.0040542454607293, 'spectral_mmd_time': 33.084363, 'dataset': 'bbb_martins_50', 'generator_name': 'corrupted', 'degree_of_perturbation': 0.25}
{'activations_time': 0.08180093765258789, 'fid': 8.2075992158355, 'fid_time': 0.21438288688659668, 'kid': 0.22936225, 'kid_time': 0.10031795501708984, 'precision': 0.865819209039548, 'recall': 0.9915492957746479, 'f1_pr': 0.924438800553745, 'precision_time': 0.8839108943939209, 'recall_time': 0.8839108943939209, 'f1_pr_time': 0.8839108943939209, 'density': 0.8703389830508474, 'coverage': 0.9943661971830986, 'f1_dc': 0.9282379206996066, 'density_time': 0.7140500545501709, 'coverage_time': 0.7140500545501709, 'f1_dc_time': 0.7140500545501709, 'mmd_rbf': 0.0078507661819458, 'mmd_rbf_time': 1.1189310550689697, 'mmd_linear': 1.2018337, 'mmd_linear_time': 0.08186984062194824, 'wl_mmd': 0.0028208800827564254, 'wl_mmd_time': 0.9528892040252686, 'nspdk_mmd': 0.009835347767088276, 'nspdk_mmd_time': 6.736865043640137, 'degree_mmd': 0.006617850905780154, 'degree_mmd_time': 12.664453, 'cluster_mmd': 0.0352963826900361, 'cluster_mmd_time': 14.515937, 'spectral_mmd': 0.006674901211814355, 'spectral_mmd_time': 34.786864, 'dataset': 'bbb_martins_50', 'generator_name': 'corrupted', 'degree_of_perturbation': 0.33}
{'activations_time': 0.10869979858398438, 'fid': 4831.662027385607, 'fid_time': 0.24107909202575684, 'kid': 12232988.0, 'kid_time': 0.12376785278320312, 'precision': 0.7898448519040903, 'recall': 0.9746478873239437, 'f1_pr': 0.8725788645608846, 'precision_time': 1.0855059623718262, 'recall_time': 1.0855059623718262, 'f1_pr_time': 1.0855059623718262, 'density': 0.7655853314527503, 'coverage': 0.9901408450704225, 'f1_dc': 0.8635130459700658, 'density_time': 0.7178888320922852, 'coverage_time': 0.7178888320922852, 'f1_dc_time': 0.7178888320922852, 'mmd_rbf': 0.020261764526367188, 'mmd_rbf_time': 1.0306308269500732, 'mmd_linear': 73.684875, 'mmd_linear_time': 0.10876750946044922, 'wl_mmd': 0.0028188879397683707, 'wl_mmd_time': 0.9318797588348389, 'nspdk_mmd': 0.018631720557311826, 'nspdk_mmd_time': 6.777505159378052, 'degree_mmd': 0.012250994732122766, 'degree_mmd_time': 11.553566, 'cluster_mmd': 0.07181447908897942, 'cluster_mmd_time': 17.075435, 'spectral_mmd': 0.01179499619320823, 'spectral_mmd_time': 32.056724, 'dataset': 'bbb_martins_50', 'generator_name': 'corrupted', 'degree_of_perturbation': 0.45}
